"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000223972.4",2.47995418775223,0.340332141944805,0.744869856319537,0.456901482933427,0.647741858067923,0.850850138354263,"DDX11L1","100287102"
"ENSG00000227232.4",701.719983020983,0.100474109637331,0.190624395547825,0.527078967771064,0.598138751585624,0.82446721244624,NA,NA
"ENSG00000243485.2",1.30461459100484,1.15954812172988,0.813552906660965,1.42528913883299,0.154073638417134,NA,NA,NA
"ENSG00000237613.2",1.22368954671618,0.200190234120778,0.861255934845954,0.232439889260774,0.816196370025948,NA,"FAM138A","645520"
"ENSG00000268020.2",0.68089873215097,-0.42505629340237,1.27206977390244,-0.334145423563039,0.738269824919494,NA,NA,NA
"ENSG00000240361.1",0.880467984389541,-0.0364336089710459,0.978750734017038,-0.0372246044930288,0.970305920656329,NA,NA,NA
"ENSG00000186092.4",1.18055950660724,-0.487034517274495,0.832117752806955,-0.585295188849893,0.558349249312944,NA,"OR4F5","79501"
"ENSG00000238009.2",5.8975053940062,-0.904202181539004,0.54330930523786,-1.66424939315763,0.0960626010594347,0.370333207617821,"LOC100996442","100996442"
"ENSG00000233750.3",35.4285797112658,0.538223223265268,0.615474147062396,0.874485509804367,0.381853907972178,0.679937516199936,NA,NA
"ENSG00000237683.5",693.886202382387,0.55882563742273,0.332083813501447,1.68278493170308,0.0924167330691938,0.363409817332907,NA,NA
"ENSG00000268903.1",2.59483017764581,0.162020518161527,0.526879619430967,0.307509556616577,0.758455550071195,0.903272864720324,NA,NA
"ENSG00000239906.1",10.907458021962,0.641898981232277,0.558856067274192,1.14859445717951,0.25072324368675,0.563672640253554,NA,NA
"ENSG00000241860.2",86.4158285223207,0.0710637125830593,0.294996526440392,0.240896777465679,0.809635119814697,0.925990751950536,NA,NA
"ENSG00000222623.1",0.0740111696575709,-0.216075795954841,3.64973752994955,-0.0592031054786089,0.952790336169123,NA,NA,NA
"ENSG00000241599.1",0.933416651928312,0.362090674711582,1.01438932747809,0.356954341792798,0.721125986931117,NA,NA,NA
"ENSG00000228463.4",39.5443427773797,-0.0850463616811967,0.411104593326906,-0.206872808189639,0.836109193061462,0.937353703019087,NA,NA
"ENSG00000237094.7",41.9100129944377,0.142298382329763,0.350549017828708,0.40593005569137,0.684793993526662,0.869541721296075,NA,NA
"ENSG00000250575.1",3.24635098211691,0.039206818802534,0.474335835286237,0.0826562445548199,0.934124877549096,0.976250721668154,NA,NA
"ENSG00000233653.3",5.70737151083189,-0.170410536472513,0.444350160604559,-0.383505063305618,0.701345316741988,0.878451618658854,NA,NA
"ENSG00000235249.1",1.12087485734121,-0.882936317985839,0.864374310336849,-1.02147450176042,0.307029683646595,NA,NA,NA
"ENSG00000269732.1",0.557835069689088,-0.902334450672165,1.2580118773066,-0.717270215766214,0.47320738128087,NA,NA,NA
"ENSG00000236601.1",0.845756850389257,0.376501271174962,0.975404185520277,0.385995135928331,0.699500271158897,NA,NA,NA
"ENSG00000236743.1",1.01503465310423,0.647100378344245,0.825835179087762,0.783570856183492,0.433291962138577,NA,NA,NA
"ENSG00000236679.2",4.21456856682308,1.49031154577122,0.938389208180158,1.58815929763453,0.112250322357907,0.396846098667368,NA,NA
